,County,Year,Month,Cases,Deaths
0,Alameda,2020,April,30470,988
1,Alameda,2020,August,463338,6785
2,Alameda,2020,December,1247644,17659
3,Alameda,2020,July,268879,4909
4,Alameda,2020,June,136574,3458
5,Alameda,2020,March,2787,39
6,Alameda,2020,May,75140,2553
7,Alameda,2020,November,791089,14641
8,Alameda,2020,October,700003,13729
9,Alameda,2020,September,603932,10426
10,Alameda,2021,April,1862307,31941
11,Alameda,2021,February,2184907,31254
12,Alameda,2021,January,1999687,24618
13,Alameda,2021,March,2547164,41503
14,Alpine,2020,April,41,0
15,Alpine,2020,August,62,0
16,Alpine,2020,December,1854,0
17,Alpine,2020,July,47,0
18,Alpine,2020,June,41,0
19,Alpine,2020,March,2,0
20,Alpine,2020,May,61,0
21,Alpine,2020,November,569,0
22,Alpine,2020,October,90,0
23,Alpine,2020,September,60,0
24,Alpine,2021,April,1871,0
25,Alpine,2021,February,2104,0
26,Alpine,2021,January,2185,0
27,Alpine,2021,March,2514,0
28,Amador,2020,April,158,0
29,Amador,2020,August,6115,277
30,Amador,2020,December,46633,617
31,Amador,2020,July,1673,0
32,Amador,2020,June,369,0
33,Amador,2020,March,12,0
34,Amador,2020,May,254,0
35,Amador,2020,November,12516,480
36,Amador,2020,October,9644,496
37,Amador,2020,September,8333,473
38,Amador,2021,April,79198,1005
39,Amador,2021,February,94421,1041
40,Amador,2021,January,89849,888
41,Amador,2021,March,108693,1336
42,Butte,2020,April,431,0
43,Butte,2020,August,43953,419
44,Butte,2020,December,175254,2281
45,Butte,2020,July,15967,138
46,Butte,2020,June,2813,36
47,Butte,2020,March,50,0
48,Butte,2020,May,826,0
49,Butte,2020,November,105379,1703
50,Butte,2020,October,92999,1527
51,Butte,2020,September,78378,990
52,Butte,2021,April,252358,4273
53,Butte,2021,February,298346,4232
54,Butte,2021,January,280364,3676
55,Butte,2021,March,345602,5571
56,Calaveras,2020,April,279,0
57,Calaveras,2020,August,5434,41
58,Calaveras,2020,December,25150,682
59,Calaveras,2020,July,2480,11
60,Calaveras,2020,June,744,0
61,Calaveras,2020,March,22,0
62,Calaveras,2020,May,415,0
63,Calaveras,2020,November,12150,637
64,Calaveras,2020,October,10384,520
65,Calaveras,2020,September,8926,281
66,Calaveras,2021,April,44683,1100
67,Calaveras,2021,February,51696,768
68,Calaveras,2021,January,47031,699
69,Calaveras,2021,March,60129,1523
70,Colusa,2020,April,83,0
71,Colusa,2020,August,12393,151
72,Colusa,2020,December,31997,232
73,Colusa,2020,July,5377,26
74,Colusa,2020,June,327,0
75,Colusa,2020,March,5,0
76,Colusa,2020,May,115,0
77,Colusa,2020,November,18695,180
78,Colusa,2020,October,16922,186
79,Colusa,2020,September,14998,180
80,Colusa,2021,April,48043,352
81,Colusa,2021,February,57901,332
82,Colusa,2021,January,52325,279
83,Colusa,2021,March,66758,449
84,Contra Costa,2020,April,18210,457
85,Contra Costa,2020,August,340579,4747
86,Contra Costa,2020,December,1003476,9012
87,Contra Costa,2020,July,166351,2939
88,Contra Costa,2020,June,62840,1576
89,Contra Costa,2020,March,1739,21
90,Contra Costa,2020,May,35828,1023
91,Contra Costa,2020,November,642279,7627
92,Contra Costa,2020,October,556350,7154
93,Contra Costa,2020,September,465183,5853
94,Contra Costa,2021,April,1460402,17101
95,Contra Costa,2021,February,1691032,17086
96,Contra Costa,2021,January,1560379,13418
97,Contra Costa,2021,March,1988267,22610
98,Del Norte,2020,April,61,0
99,Del Norte,2020,August,3329,15
100,Del Norte,2020,December,17629,48
101,Del Norte,2020,July,2122,0
102,Del Norte,2020,June,1437,0
103,Del Norte,2020,May,486,0
104,Del Norte,2020,November,7288,30
105,Del Norte,2020,October,5242,31
106,Del Norte,2020,September,3973,30
107,Del Norte,2021,April,27554,143
108,Del Norte,2021,February,26218,113
109,Del Norte,2021,January,26022,68
110,Del Norte,2021,March,33298,174
111,El Dorado,2020,April,1015,0
112,El Dorado,2020,August,25572,53
113,El Dorado,2020,December,126802,298
114,El Dorado,2020,July,12123,12
115,El Dorado,2020,June,3806,0
116,El Dorado,2020,March,90,0
117,El Dorado,2020,May,2031,0
118,El Dorado,2020,November,52407,120
119,El Dorado,2020,October,39283,124
120,El Dorado,2020,September,31634,93
121,El Dorado,2021,April,210497,2332
122,El Dorado,2021,February,244711,2513
123,El Dorado,2021,January,224593,1384
124,El Dorado,2021,March,286495,3195
125,Fresno,2020,April,8629,151
126,Fresno,2020,August,627298,6242
127,Fresno,2020,December,1558495,17768
128,Fresno,2020,July,299118,2996
129,Fresno,2020,June,90237,1702
130,Fresno,2020,March,368,0
131,Fresno,2020,May,36149,537
132,Fresno,2020,November,1037439,13879
133,Fresno,2020,October,927640,13053
134,Fresno,2020,September,815769,10302
135,Fresno,2021,April,2202605,35930
136,Fresno,2021,February,2591970,36504
137,Fresno,2021,January,2448686,27687
138,Fresno,2021,March,3020883,47434
139,Glenn,2020,April,107,0
140,Glenn,2020,August,11905,84
141,Glenn,2020,December,37610,376
142,Glenn,2020,July,6007,8
143,Glenn,2020,June,1298,0
144,Glenn,2020,March,6,0
145,Glenn,2020,May,293,0
146,Glenn,2020,November,23435,160
147,Glenn,2020,October,19548,93
148,Glenn,2020,September,15672,90
149,Glenn,2021,April,62793,550
150,Glenn,2021,February,72749,644
151,Glenn,2021,January,65235,581
152,Glenn,2021,March,85437,688
153,Humboldt,2020,April,1483,0
154,Humboldt,2020,August,9726,124
155,Humboldt,2020,December,41318,424
156,Humboldt,2020,February,10,0
157,Humboldt,2020,July,5644,124
158,Humboldt,2020,June,3405,119
159,Humboldt,2020,March,152,0
160,Humboldt,2020,May,2340,26
161,Humboldt,2020,November,20891,287
162,Humboldt,2020,October,16875,267
163,Humboldt,2020,September,13833,167
164,Humboldt,2021,April,78168,804
165,Humboldt,2021,February,84482,894
166,Humboldt,2021,January,70738,764
167,Humboldt,2021,March,104345,1062
168,Imperial,2020,April,4546,102
169,Imperial,2020,August,312293,7980
170,Imperial,2020,December,602746,11889
171,Imperial,2020,July,253765,4605
172,Imperial,2020,June,126957,1560
173,Imperial,2020,March,193,0
174,Imperial,2020,May,27740,489
175,Imperial,2020,November,431137,10408
176,Imperial,2020,October,385739,10269
177,Imperial,2020,September,341353,9207
178,Imperial,2021,April,611449,15725
179,Imperial,2021,February,746251,16096
180,Imperial,2021,January,764163,14525
181,Imperial,2021,March,841862,21060
182,Inyo,2020,April,453,8
183,Inyo,2020,August,3425,187
184,Inyo,2020,December,13239,558
185,Inyo,2020,July,1135,31
186,Inyo,2020,June,720,30
187,Inyo,2020,March,37,0
188,Inyo,2020,May,620,31
189,Inyo,2020,November,7895,467
190,Inyo,2020,October,6549,465
191,Inyo,2020,September,5287,420
192,Inyo,2021,April,30487,791
193,Inyo,2021,February,32776,921
194,Inyo,2021,January,25531,831
195,Inyo,2021,March,41531,1109
196,Kern,2020,April,15562,95
197,Kern,2020,August,796406,6449
198,Kern,2020,December,1693082,14704
199,Kern,2020,July,306526,3226
200,Kern,2020,June,102961,1686
201,Kern,2020,March,407,5
202,Kern,2020,May,46703,708
203,Kern,2020,November,1120450,13075
204,Kern,2020,October,1031993,12510
205,Kern,2020,September,928795,9992
206,Kern,2021,April,2358948,28703
207,Kern,2021,February,2791078,19964
208,Kern,2021,January,2577942,17421
209,Kern,2021,March,3255435,33639
210,Kings,2020,April,848,20
211,Kings,2020,August,164966,1990
212,Kings,2020,December,428860,3131
213,Kings,2020,July,101251,1290
214,Kings,2020,June,55394,366
215,Kings,2020,March,11,0
216,Kings,2020,May,13404,56
217,Kings,2020,November,290101,2589
218,Kings,2020,October,251665,2553
219,Kings,2020,September,214892,2312
220,Kings,2021,April,499785,5357
221,Kings,2021,February,603232,5731
222,Kings,2021,January,579454,4166
223,Kings,2021,March,693805,7251
224,Lake,2020,April,127,0
225,Lake,2020,August,8058,70
226,Lake,2020,December,41845,673
227,Lake,2020,July,4137,28
228,Lake,2020,June,1061,0
229,Lake,2020,May,349,0
230,Lake,2020,November,23904,533
231,Lake,2020,October,19991,429
232,Lake,2020,September,13026,237
233,Lake,2021,April,74312,946
234,Lake,2021,February,84264,1037
235,Lake,2021,January,74006,877
236,Lake,2021,March,100565,1313
237,Lassen,2020,August,21161,0
238,Lassen,2020,December,108607,175
239,Lassen,2020,July,13117,0
240,Lassen,2020,June,1306,0
241,Lassen,2020,May,39,0
242,Lassen,2020,November,36664,43
243,Lassen,2020,October,23449,20
244,Lassen,2020,September,21880,0
245,Lassen,2021,April,124590,22
246,Lassen,2021,February,154463,516
247,Lassen,2021,January,157949,405
248,Lassen,2021,March,174603,284
249,Los Angeles,2020,April,362305,14801
250,Los Angeles,2020,August,6796228,163012
251,Los Angeles,2020,December,17784563,268598
252,Los Angeles,2020,February,29,0
253,Los Angeles,2020,January,6,0
254,Los Angeles,2020,July,4534053,123135
255,Los Angeles,2020,June,2295011,87756
256,Los Angeles,2020,March,16149,268
257,Los Angeles,2020,May,1172311,55009
258,Los Angeles,2020,November,10393607,219720
259,Los Angeles,2020,October,8928603,212261
260,Los Angeles,2020,September,7694092,187418
261,Los Angeles,2021,April,26979325,516496
262,Los Angeles,2021,February,32591439,535599
263,Los Angeles,2021,January,30373784,420373
264,Los Angeles,2021,March,37517367,697121
265,Madera,2020,April,1035,58
266,Madera,2020,August,90831,1378
267,Madera,2020,December,256493,3301
268,Madera,2020,July,37365,397
269,Madera,2020,June,7998,113
270,Madera,2020,March,138,5
271,Madera,2020,May,2314,62
272,Madera,2020,November,166813,2363
273,Madera,2020,October,150313,2245
274,Madera,2020,September,126636,1800
275,Madera,2021,April,355466,5215
276,Madera,2021,February,420971,5439
277,Madera,2021,January,396544,4367
278,Madera,2021,March,489321,6933
279,Marin,2020,April,5377,297
280,Marin,2020,August,175600,2565
281,Marin,2020,December,271608,4157
282,Marin,2020,February,4,0
283,Marin,2020,July,115998,1110
284,Marin,2020,June,30320,523
285,Marin,2020,March,850,8
286,Marin,2020,May,10084,429
287,Marin,2020,November,222838,3830
288,Marin,2020,October,215849,3856
289,Marin,2020,September,195100,3173
290,Marin,2021,April,302036,4937
291,Marin,2021,February,356823,5189
292,Marin,2021,January,349748,4741
293,Marin,2021,March,415482,6550
294,Mariposa,2020,April,5,0
295,Mariposa,2020,August,2020,62
296,Mariposa,2020,December,5803,117
297,Mariposa,2020,July,1163,37
298,Mariposa,2020,June,550,30
299,Mariposa,2020,May,463,17
300,Mariposa,2020,November,2965,60
301,Mariposa,2020,October,2410,62
302,Mariposa,2020,September,2239,60
303,Mariposa,2021,April,9184,154
304,Mariposa,2021,February,10785,168
305,Mariposa,2021,January,10174,131
306,Mariposa,2021,March,12415,217
307,Mendocino,2020,April,177,0
308,Mendocino,2020,August,16377,386
309,Mendocino,2020,December,64480,758
310,Mendocino,2020,July,5516,63
311,Mendocino,2020,June,1505,0
312,Mendocino,2020,March,27,0
313,Mendocino,2020,May,550,0
314,Mendocino,2020,November,40167,655
315,Mendocino,2020,October,33439,644
316,Mendocino,2020,September,24836,531
317,Mendocino,2021,April,87387,1028
318,Mendocino,2021,February,103117,1140
319,Mendocino,2021,January,94433,1010
320,Mendocino,2021,March,120444,1396
321,Merced,2020,April,2137,72
322,Merced,2020,August,200907,2674
323,Merced,2020,December,482707,6634
324,Merced,2020,July,75411,597
325,Merced,2020,June,15661,246
326,Merced,2020,March,47,0
327,Merced,2020,May,6417,153
328,Merced,2020,November,319652,5113
329,Merced,2020,October,288593,4698
330,Merced,2020,September,258276,3932
331,Merced,2021,April,682812,9840
332,Merced,2021,February,782274,10573
333,Merced,2021,January,722325,9337
334,Merced,2021,March,927613,13106
335,Modoc,2020,August,154,0
336,Modoc,2020,December,5289,2
337,Modoc,2020,July,6,0
338,Modoc,2020,November,2097,0
339,Modoc,2020,October,846,0
340,Modoc,2020,September,619,0
341,Modoc,2021,April,7752,66
342,Modoc,2021,February,8980,112
343,Modoc,2021,January,8492,82
344,Modoc,2021,March,10526,105
345,Mono,2020,April,664,30
346,Mono,2020,August,4868,44
347,Mono,2020,December,21543,103
348,Mono,2020,July,2339,31
349,Mono,2020,June,1139,30
350,Mono,2020,March,65,1
351,Mono,2020,May,987,31
352,Mono,2020,November,12989,72
353,Mono,2020,October,5418,62
354,Mono,2020,September,4910,60
355,Mono,2021,April,27486,88
356,Mono,2021,February,32842,112
357,Mono,2021,January,31814,124
358,Mono,2021,March,37803,124
359,Monterey,2020,April,3531,97
360,Monterey,2020,August,195080,1360
361,Monterey,2020,December,652831,5023
362,Monterey,2020,July,94160,596
363,Monterey,2020,June,31080,345
364,Monterey,2020,March,288,12
365,Monterey,2020,May,10386,225
366,Monterey,2020,November,396511,3249
367,Monterey,2020,October,339393,2583
368,Monterey,2020,September,274665,1955
369,Monterey,2021,April,949399,7715
370,Monterey,2021,February,1155247,8556
371,Monterey,2021,January,1071093,7623
372,Monterey,2021,March,1321361,10395
373,Napa,2020,April,1263,58
374,Napa,2020,August,37338,350
375,Napa,2020,December,137733,724
376,Napa,2020,February,4,0
377,Napa,2020,July,18297,171
378,Napa,2020,June,5997,104
379,Napa,2020,March,105,1
380,Napa,2020,May,2809,83
381,Napa,2020,November,75948,500
382,Napa,2020,October,57767,437
383,Napa,2020,September,47338,390
384,Napa,2021,April,210888,1736
385,Napa,2021,February,245979,1753
386,Napa,2021,January,222839,1251
387,Napa,2021,March,285818,2346
388,Nevada,2020,April,1050,28
389,Nevada,2020,August,11682,75
390,Nevada,2020,December,64769,976
391,Nevada,2020,July,6240,31
392,Nevada,2020,June,2090,30
393,Nevada,2020,March,101,0
394,Nevada,2020,May,1271,31
395,Nevada,2020,November,27308,270
396,Nevada,2020,October,18134,243
397,Nevada,2020,September,14901,170
398,Nevada,2021,April,96816,1645
399,Nevada,2021,February,105397,2072
400,Nevada,2021,January,96150,2031
401,Nevada,2021,March,127941,2398
402,Orange,2020,April,43117,778
403,Orange,2020,August,1335540,25028
404,Orange,2020,December,3642913,53311
405,Orange,2020,February,29,0
406,Orange,2020,January,7,0
407,Orange,2020,July,837060,14436
408,Orange,2020,June,281375,7088
409,Orange,2020,March,3229,23
410,Orange,2020,May,133479,2939
411,Orange,2020,November,2069168,45880
412,Orange,2020,October,1813259,42755
413,Orange,2020,September,1572747,33474
414,Orange,2021,April,5896029,106405
415,Orange,2021,February,7162074,100000
416,Orange,2021,January,6634066,73122
417,Orange,2021,March,8183418,137517
418,Placer,2020,April,3734,174
419,Placer,2020,August,77671,812
420,Placer,2020,December,315937,3042
421,Placer,2020,July,39040,373
