County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash,Cases,Deaths
Placer,June,2020,0.112,10270,16499,2028794,684,11
Placer,July,2020,0.098,9831,15723,1931907,1876,15
Placer,August,2020,0.077,9475,15101,1807698,3003,33
Placer,September,2020,0.071,9475,18478,1761068,3604,48
Placer,October,2020,0.06,9387,14939,1775030,4353,59
Placer,November,2020,0.052,9233,14555,1685135,6622,70
Placer,December,2020,0.062,9214,14595,1690134,13755,125
Placer,January,2021,0.06,9175,15115,1735400,18430,199
Placer,February,2021,0.057,9794,15260,2497454,19520,229
Plumas,January,2020,0.105,1296,2210,271513,0,0
Plumas,February,2020,0.11,1285,2195,267927,0,0
Plumas,March,2020,0.132,1289,2198,271594,1,0
Plumas,April,2020,0.205,1371,2342,290292,4,0
Plumas,May,2020,0.169,1411,2401,297904,5,0
Plumas,June,2020,0.139,1419,2400,294162,6,0
Plumas,July,2020,0.114,1378,2298,274147,25,0
Plumas,August,2020,0.082,1347,2285,265225,39,0
Plumas,September,2020,0.078,1347,2247,259715,48,0
Plumas,October,2020,0.069,1303,2171,269850,80,0
Plumas,November,2020,0.072,1271,2106,252373,191,0
Plumas,December,2020,0.107,1294,2178,264268,398,1
Plumas,January,2021,0.12,1325,2222,266370,554,6
Plumas,February,2021,0.122,1346,2277,388378,624,6
Riverside,January,2020,0.042,120637,240982,30089121,0,0
Riverside,February,2020,0.041,119359,237652,29819357,0,0
Riverside,March,2020,0.053,121285,240626,30568510,371,13
Riverside,April,2020,0.153,134406,266334,33443211,4031,149
Riverside,May,2020,0.158,142244,282116,35494701,7492,339
Riverside,June,2020,0.148,145900,288138,36512145,17683,457
Riverside,July,2020,0.137,137553,270888,33462347,37308,695
Riverside,August,2020,0.112,133183,262616,32046308,52909,1019
Riverside,September,2020,0.105,130900,259321,31311590,59405,1226
Riverside,October,2020,0.09,123843,246522,31400183,68050,1319
Riverside,November,2020,0.078,119370,237999,29584782,87383,1442
Riverside,December,2020,0.091,118041,235562,28967440,180553,1985
Riverside,January,2021,0.086,119905,237919,28889230,271910,3091
Riverside,February,2021,0.08,120176,237868,41012977,287534,3633
Sacramento,January,2020,0.039,109778,219383,26350892,0,0
Sacramento,February,2020,0.037,109702,219449,26346960,3,0
Sacramento,March,2020,0.047,109933,218473,26381979,224,7
Sacramento,April,2020,0.147,115999,220433,27567985,1077,43
Sacramento,May,2020,0.141,119470,227892,28844804,1414,57
Sacramento,June,2020,0.136,123598,234265,29375495,3222,68
Sacramento,July,2020,0.125,123140,226834,28196775,9819,133
Sacramento,August,2020,0.103,121167,223552,27397795,18051,293
Sacramento,September,2020,0.098,119020,229917,26634568,22653,420
Sacramento,October,2020,0.084,115408,224584,27291736,26184,500
Sacramento,November,2020,0.074,111399,217345,25780578,37883,581
Sacramento,December,2020,0.085,109847,213765,25387051,65540,857
Sacramento,January,2021,0.081,110905,213999,25521730,86387,1239
Sacramento,February,2021,0.077,113599,217792,36083330,91814,1431
San Benito,January,2020,0.062,2215,4435,548068,0,0
San Benito,February,2020,0.062,2233,4429,551518,0,0
San Benito,March,2020,0.079,2270,4490,566964,21,1
San Benito,April,2020,0.198,2576,5128,637922,51,2
San Benito,May,2020,0.155,2727,5444,683868,87,2
San Benito,June,2020,0.138,2825,5640,715281,233,2
San Benito,July,2020,0.119,2735,5423,670139,622,4
San Benito,August,2020,0.092,2710,5363,639042,1097,8
San Benito,September,2020,0.087,2667,5277,621657,1352,11
San Benito,October,2020,0.075,2546,5054,629989,1464,15
San Benito,November,2020,0.069,2503,4999,620252,1893,16
San Benito,December,2020,0.087,2562,5092,620818,3673,29
San Benito,January,2021,0.089,2644,5247,639786,5401,52
San Benito,February,2021,0.085,2678,5313,915313,5699,57
San Bernardino,January,2020,0.039,158541,324719,40281453,0,0
San Bernardino,February,2020,0.038,157663,322881,40209248,0,0
San Bernardino,March,2020,0.049,156910,320415,40075694,183,6
San Bernardino,April,2020,0.134,168327,342576,42660218,2058,93
San Bernardino,May,2020,0.139,175820,357205,44881537,5246,204
San Bernardino,June,2020,0.138,179336,363347,46201097,12550,253
San Bernardino,July,2020,0.131,170169,345004,42820860,32230,409
San Bernardino,August,2020,0.108,165633,337335,41550044,47642,716
San Bernardino,September,2020,0.103,162182,331506,40341061,55203,955
San Bernardino,October,2020,0.091,153307,315453,40414398,64952,1078
San Bernardino,November,2020,0.08,147899,303509,38289264,93671,1129
San Bernardino,December,2020,0.092,143813,297337,37285215,194377,1445
San Bernardino,January,2021,0.086,144573,297640,37052711,274429,1839
San Bernardino,February,2021,0.081,144717,297741,51827189,284280,2557
San Diego,January,2020,0.033,145435,266755,31790016,0,0
San Diego,February,2020,0.032,145979,266499,32073160,1,0
San Diego,March,2020,0.041,147924,268633,32581560,734,9
San Diego,April,2020,0.15,173018,311379,38679059,3627,140
San Diego,May,2020,0.15,189714,331073,41615431,7544,312
San Diego,June,2020,0.139,198896,348149,43142061,14212,365
San Diego,July,2020,0.123,199745,343297,41817464,29111,561
San Diego,August,2020,0.099,199506,343582,40637298,38667,682
San Diego,September,2020,0.09,199681,357489,39409491,47243,796
San Diego,October,2020,0.077,195294,350744,39855562,56813,891
San Diego,November,2020,0.066,188349,338000,37747893,82106,997
San Diego,December,2020,0.08,188904,337549,37795713,155658,1534
San Diego,January,2021,0.08,191965,340596,38052951,238105,2619
San Diego,February,2021,0.072,197217,348109,55530817,256576,3188
San Francisco,January,2020,0.023,47127,65824,7295166,0,0
San Francisco,February,2020,0.023,47362,66002,7337138,3,0
San Francisco,March,2020,0.03,47789,66545,7395700,400,6
San Francisco,April,2020,0.126,53714,75243,8690017,1502,25
San Francisco,May,2020,0.126,56482,79157,9306237,2561,42
San Francisco,June,2020,0.125,59128,82794,9551611,3606,50
San Francisco,July,2020,0.109,55982,78064,8905823,6578,59
San Francisco,August,2020,0.088,59874,83851,8957228,9497,83
San Francisco,September,2020,0.084,59799,83903,8915639,11278,104
San Francisco,October,2020,0.069,58267,81871,9200775,12402,148
San Francisco,November,2020,0.057,57800,81234,8998075,15574,160
San Francisco,December,2020,0.064,58481,82179,9068332,23227,186
San Francisco,January,2021,0.062,59597,83673,9307208,31430,324
San Francisco,February,2021,0.057,61938,87058,13838903,33749,394
San Joaquin,January,2020,0.067,46634,95254,11316237,0,0
San Joaquin,February,2020,0.066,46722,95116,11309492,0,0
San Joaquin,March,2020,0.083,46934,95262,11350527,151,8
San Joaquin,April,2020,0.183,50097,101595,12270365,543,25
San Joaquin,May,2020,0.166,51981,105222,12741018,888,35
San Joaquin,June,2020,0.159,51499,103096,12618954,3856,52
San Joaquin,July,2020,0.148,49680,99175,11647533,11483,168
San Joaquin,August,2020,0.119,49805,99870,11604026,17637,328
San Joaquin,September,2020,0.114,49307,99221,11385434,20411,456
San Joaquin,October,2020,0.1,47975,96739,11776811,22106,494
San Joaquin,November,2020,0.09,47066,94825,11277641,25920,509
San Joaquin,December,2020,0.106,46980,94695,11236708,45583,651
San Joaquin,January,2021,0.1,47575,95361,11266966,61901,853
San Joaquin,February,2021,0.095,48055,96170,16367760,65891,1026
San Luis Obispo,January,2020,0.031,9774,16076,1963240,0,0
San Luis Obispo,February,2020,0.03,9804,16012,1972430,0,0
San Luis Obispo,March,2020,0.038,9968,16154,2004218,80,0
San Luis Obispo,April,2020,0.137,11578,18378,2373906,184,1
San Luis Obispo,May,2020,0.127,12072,19086,2479552,270,1
San Luis Obispo,June,2020,0.115,12002,18677,2377628,611,1
San Luis Obispo,July,2020,0.099,11212,17137,2158738,1783,15
San Luis Obispo,August,2020,0.078,10684,16528,2042277,2981,21
San Luis Obispo,September,2020,0.072,10539,17353,1968054,3629,31
San Luis Obispo,October,2020,0.06,10342,17071,1998290,4298,32
San Luis Obispo,November,2020,0.054,10140,16697,1923451,6311,38
San Luis Obispo,December,2020,0.067,10267,16899,1935320,10490,82
San Luis Obispo,January,2021,0.068,10491,17176,1941011,17605,168
San Luis Obispo,February,2021,0.063,10842,17649,2809112,19340,217
San Mateo,January,2020,0.021,12173,20834,2550310,0,0
San Mateo,February,2020,0.021,12151,20603,2533230,0,0
San Mateo,March,2020,0.028,12283,20809,2563764,309,10
San Mateo,April,2020,0.114,14285,24595,3038249,1177,50
San Mateo,May,2020,0.111,15947,27782,3528688,2129,84
San Mateo,June,2020,0.108,16680,29048,3583958,3170,108
San Mateo,July,2020,0.092,16755,29209,3562205,5469,119
San Mateo,August,2020,0.075,16754,29298,3524428,8169,131
San Mateo,September,2020,0.071,16700,29251,3461728,9990,150
San Mateo,October,2020,0.06,16205,28446,3431077,11371,161
San Mateo,November,2020,0.051,15733,27563,3255584,14458,170
San Mateo,December,2020,0.058,15719,27421,3220048,24589,227
San Mateo,January,2021,0.057,16166,28097,3257883,35466,382
San Mateo,February,2021,0.053,16848,29154,4691348,38256,497
Santa Barbara,January,2020,0.047,22381,40745,5240179,0,0
Santa Barbara,February,2020,0.046,22812,41392,5342595,0,0
Santa Barbara,March,2020,0.056,23253,41904,5414719,99,0
Santa Barbara,April,2020,0.137,25416,44217,5812270,496,8
Santa Barbara,May,2020,0.129,26540,46093,6135385,1660,12
Santa Barbara,June,2020,0.116,27170,47169,6148681,2933,29
Santa Barbara,July,2020,0.1,26811,45377,5854223,6273,60
Santa Barbara,August,2020,0.08,26150,44636,5681208,8143,93
Santa Barbara,September,2020,0.074,25492,45150,5423645,9197,114
Santa Barbara,October,2020,0.063,24434,43712,5410191,9944,128
Santa Barbara,November,2020,0.058,23611,42238,5075751,11602,136
Santa Barbara,December,2020,0.076,23565,42374,5090683,17391,160
Santa Barbara,January,2021,0.078,23994,43025,5271965,28567,291
Santa Barbara,February,2021,0.071,24936,44543,7646633,31432,394
Santa Clara,January,2020,0.026,49649,83219,10022139,1,0
Santa Clara,February,2020,0.026,49781,83033,10010889,4,0
Santa Clara,March,2020,0.033,49923,82967,10037562,890,31
Santa Clara,April,2020,0.117,55250,91263,11349518,2163,112
Santa Clara,May,2020,0.11,59017,96962,12194763,2776,142
Santa Clara,June,2020,0.107,61189,100482,12532164,4231,157
Santa Clara,July,2020,0.093,61370,99509,12326491,9913,192
Santa Clara,August,2020,0.075,61771,101042,12146928,17349,246
Santa Clara,September,2020,0.07,61748,104152,11899319,21379,323
Santa Clara,October,2020,0.059,60864,102841,12288736,24986,407
Santa Clara,November,2020,0.051,59463,100289,11758793,35085,477
Santa Clara,December,2020,0.059,58957,99149,11603122,69879,710
Santa Clara,January,2021,0.057,60248,100806,11757972,0,0
Santa Clara,February,2021,0.053,61832,102818,16900488,101964,1415
Santa Cruz,January,2020,0.062,15112,24221,3221301,0,0
Santa Cruz,February,2020,0.064,15163,24287,3217914,0,0
Santa Cruz,March,2020,0.079,15506,24868,3318922,49,1
Santa Cruz,April,2020,0.174,17625,27611,3683349,131,2
Santa Cruz,May,2020,0.144,18401,28816,3897141,212,3
Santa Cruz,June,2020,0.13,18581,29047,3866996,379,3
Santa Cruz,July,2020,0.112,17950,27544,3631255,1109,4
Santa Cruz,August,2020,0.086,17535,27217,3524874,1747,7
Santa Cruz,September,2020,0.081,17262,27613,3369456,2423,12
Santa Cruz,October,2020,0.071,16447,26541,3355409,2884,26
Santa Cruz,November,2020,0.067,16017,25928,3204943,4529,28
Santa Cruz,December,2020,0.085,15994,25950,3236912,8749,83
Santa Cruz,January,2021,0.087,16204,26348,3281996,13383,148
Santa Cruz,February,2021,0.084,16805,27283,4650218,14438,172
Shasta,January,2020,0.054,13956,23888,2685566,0,0
Shasta,February,2020,0.054,13956,23775,2676860,0,0
Shasta,March,2020,0.068,13979,23675,2690743,6,1
Shasta,April,2020,0.159,15063,25642,2919056,31,4
Shasta,May,2020,0.131,15524,26412,3009870,39,4
Shasta,June,2020,0.115,15535,26215,2994985,118,5
Shasta,July,2020,0.105,15058,25244,2795404,369,9
Shasta,August,2020,0.083,14802,24868,2694897,570,12
Shasta,September,2020,0.078,14531,24505,2627869,943,20
Shasta,October,2020,0.069,14046,23602,2677847,2048,31
Shasta,November,2020,0.065,13650,22980,2545593,4963,47
Shasta,December,2020,0.08,13555,22869,2529430,8060,78
Shasta,January,2021,0.079,13693,23103,2525898,10333,142
Shasta,February,2021,0.078,13802,23248,3683407,10868,172
Sierra,January,2020,0.062,162,257,29024,0,0
Sierra,February,2020,0.069,161,239,27392,0,0
Sierra,March,2020,0.085,170,260,31201,0,0
Sierra,April,2020,0.142,188,290,31289,0,0
Sierra,May,2020,0.126,193,296,33881,1,0
Sierra,June,2020,0.111,190,293,33691,1,0
Sierra,July,2020,0.093,178,275,29650,1,0
Sierra,August,2020,0.077,169,255,28426,6,0
Sierra,September,2020,0.067,162,254,25753,6,0
Sierra,October,2020,0.055,160,246,26135,6,0
Sierra,November,2020,0.05,150,232,23100,16,0
Sierra,December,2020,0.07,161,244,26179,24,0
Sierra,January,2021,0.076,172,261,27516,44,0
Sierra,February,2021,0.075,171,259,42673,47,0
Siskiyou,January,2020,0.083,3805,7027,807406,0,0
Siskiyou,February,2020,0.085,3838,7114,825877,0,0
Siskiyou,March,2020,0.1,3880,7173,833176,3,0
Siskiyou,April,2020,0.158,4210,7733,903604,5,0
Siskiyou,May,2020,0.135,4356,7964,928299,7,0
Siskiyou,June,2020,0.126,4408,8020,941336,29,0
Siskiyou,July,2020,0.112,4268,7719,878420,73,0
Siskiyou,August,2020,0.091,4205,7535,850769,137,0
Siskiyou,September,2020,0.085,4164,7429,836085,166,0
Siskiyou,October,2020,0.073,4103,7297,870324,241,0
Siskiyou,November,2020,0.073,4096,7222,842858,722,3
Siskiyou,December,2020,0.107,4113,7234,837687,1176,11
Siskiyou,January,2021,0.099,4146,7305,852237,1532,13
Siskiyou,February,2021,0.097,4214,7498,1244912,1701,13
Solano,January,2020,0.04,21574,37841,4734861,0,0
Solano,February,2020,0.039,21470,37649,4713507,11,0
Solano,March,2020,0.05,21596,37652,4757662,54,0
Solano,April,2020,0.149,24193,41337,5297677,268,5
Solano,May,2020,0.142,26011,44165,5712557,522,22
Solano,June,2020,0.137,27019,45845,5829605,1293,24
Solano,July,2020,0.124,26824,44831,5626683,3616,37
Solano,August,2020,0.103,26513,44318,5427016,5517,47
Solano,September,2020,0.097,26246,45792,5227895,6450,71
Solano,October,2020,0.085,25400,44413,5195678,7639,76
Solano,November,2020,0.075,24401,42611,4929175,10653,81
Solano,December,2020,0.088,24227,42333,4837934,19216,98
Solano,January,2021,0.086,24745,42955,4870878,27711,122
Solano,February,2021,0.081,25452,43972,7036206,29771,161
Sonoma,January,2020,0.029,16482,26810,3199447,0,0
Sonoma,February,2020,0.028,16424,26680,3190425,1,0
Sonoma,March,2020,0.036,16660,26741,3232099,85,1
Sonoma,April,2020,0.152,18267,29076,3607345,244,2
Sonoma,May,2020,0.127,19473,31184,3988850,564,5
Sonoma,June,2020,0.115,20155,32029,4049598,1185,7
Sonoma,July,2020,0.098,20358,31956,3977850,2944,36
Sonoma,August,2020,0.077,20574,32476,3908614,5800,80
Sonoma,September,2020,0.072,20280,33120,3731579,7578,122
Sonoma,October,2020,0.062,19769,32419,3778260,9686,136
Sonoma,November,2020,0.055,19059,31059,3559523,12319,157
Sonoma,December,2020,0.065,18589,30337,3513408,19055,192
Sonoma,January,2021,0.071,18506,30183,3536629,26108,260
Sonoma,February,2021,0.064,18837,30652,5021646,27606,291
Stanislaus,January,2020,0.066,37913,73655,8793332,0,0
Stanislaus,February,2020,0.066,37830,73410,8778720,0,0
Stanislaus,March,2020,0.083,37904,73491,8823691,39,0
Stanislaus,April,2020,0.17,40220,77715,9361281,374,13
Stanislaus,May,2020,0.161,41830,80723,9770746,744,29
Stanislaus,June,2020,0.15,41252,78669,9628129,2400,42
Stanislaus,July,2020,0.136,39168,74331,8812374,8890,104
Stanislaus,August,2020,0.109,38611,73675,8546387,14710,258
Stanislaus,September,2020,0.103,38372,73796,8435539,16512,362
Stanislaus,October,2020,0.091,36965,71656,8666637,18725,401
Stanislaus,November,2020,0.083,35741,69436,8224821,23656,426
Stanislaus,December,2020,0.099,35098,68315,8059698,37524,616
Stanislaus,January,2021,0.094,35690,69144,8170224,50983,828
Stanislaus,February,2021,0.09,35917,69479,11678840,55081,926
Statewide,January,2020,0.043,2176109,4075962,500169011,0,0
Statewide,February,2020,0.043,2175527,4063062,500046672,0,0
Statewide,March,2020,0.056,2191350,4077117,503768895,0,0
Statewide,April,2020,0.161,2419045,4487411,553765690,0,0
Statewide,May,2020,0.159,2567240,4727883,590455817,0,0
Statewide,June,2020,0.151,2639252,4840876,601177426,0,0
Statewide,July,2020,0.137,2578120,4684911,572379787,0,0
Statewide,August,2020,0.116,2549270,4640393,558447062,0,0
Statewide,September,2020,0.108,2523606,4666504,544728685,0,0
Statewide,October,2020,0.09,2429072,4509104,551824579,0,0
Statewide,November,2020,0.079,2359544,4383800,527267959,0,0
Statewide,December,2020,0.088,2346777,4355092,522050103,0,0
Statewide,January,2021,0.092,2384171,4455651,525016256,0,0
Statewide,February,2021,0.084,2396924,4358167,749752374,0,0
Sutter,January,2020,0.087,5453,11447,1363330,0,0
Sutter,February,2020,0.089,5495,11489,1378975,0,0
Sutter,March,2020,0.111,5529,11534,1380210,10,0
Sutter,April,2020,0.179,5879,12229,1471634,30,2
Sutter,May,2020,0.16,6075,12540,1542539,46,2
Sutter,June,2020,0.15,6132,12524,1536956,190,3
Sutter,July,2020,0.135,5871,12008,1438933,768,6
Sutter,August,2020,0.107,5744,11737,1385974,1409,10
Sutter,September,2020,0.103,5680,11623,1366415,1726,11
Sutter,October,2020,0.091,5515,11358,1391656,1912,12
Sutter,November,2020,0.086,5406,11152,1346950,3565,17
Sutter,December,2020,0.109,5390,11226,1360661,6505,52
Sutter,January,2021,0.104,5532,11450,1383215,8264,86
Sutter,February,2021,0.103,5593,11563,1973130,8766,94
Tehama,January,2020,0.063,5069,9817,1095139,0,0
Tehama,February,2020,0.062,5083,9782,1073864,0,0
Tehama,March,2020,0.076,5114,9805,1098375,0,0
Tehama,April,2020,0.145,5401,10272,1151023,1,1
Tehama,May,2020,0.126,5573,10541,1165655,4,1
Tehama,June,2020,0.118,5663,10664,1187846,63,1
Tehama,July,2020,0.11,5501,10305,1112604,208,1
Tehama,August,2020,0.088,5399,10077,1077340,419,1
Tehama,September,2020,0.082,5332,9918,1052655,585,5
Tehama,October,2020,0.072,5181,9620,1092600,932,9
Tehama,November,2020,0.068,5051,9398,1045443,1710,25
Tehama,December,2020,0.087,4964,9196,1012454,2967,36
Tehama,January,2021,0.081,5012,9257,1008878,4229,47
Tehama,February,2021,0.08,5103,9283,1466702,4535,51
Trinity,January,2020,0.069,1048,1700,216428,0,0
Trinity,February,2020,0.073,1084,1748,229005,0,0
Trinity,March,2020,0.092,1094,1795,239286,0,0
Trinity,April,2020,0.128,1192,1962,255566,0,0
Trinity,May,2020,0.107,1259,2068,269993,2,0
Trinity,June,2020,0.098,1294,2105,279708,3,0
Trinity,July,2020,0.086,1271,2009,259146,5,0
Trinity,August,2020,0.068,1249,2007,255702,14,0
Trinity,September,2020,0.067,1227,1972,243329,17,0
Trinity,October,2020,0.063,1202,1945,255167,30,0
Trinity,November,2020,0.061,1161,1881,244017,160,0
Trinity,December,2020,0.084,0,0,232941,251,4
Trinity,January,2021,0.078,1160,1896,242084,264,5
Trinity,February,2021,0.076,1164,1898,341908,283,5
Tulare,January,2020,0.11,50319,113943,13943277,0,0
Tulare,February,2020,0.115,50495,114239,13964046,0,0
Tulare,March,2020,0.145,50677,114289,13908921,45,1
Tulare,April,2020,0.19,53443,115381,14206442,640,40
Tulare,May,2020,0.184,54714,118467,14818656,1879,84
Tulare,June,2020,0.172,55602,119800,14763463,4156,126
Tulare,July,2020,0.162,54253,113959,13943253,9454,178
Tulare,August,2020,0.131,52384,111277,13681435,14079,233
Tulare,September,2020,0.122,50621,112531,13177131,16267,263
Tulare,October,2020,0.109,48487,108939,13550950,17852,293
Tulare,November,2020,0.098,46341,104666,12792744,20913,312
Tulare,December,2020,0.118,44400,100736,12258846,33443,406
Tulare,January,2021,0.115,43593,98649,12394912,44203,588
Tulare,February,2021,0.114,45068,101481,17778143,47399,720
Tuolumne,January,2020,0.049,3080,4809,562666,0,0
Tuolumne,February,2020,0.05,3088,4849,568079,0,0
Tuolumne,March,2020,0.062,3113,4929,582174,1,0
Tuolumne,April,2020,0.172,3412,5375,637222,4,0
Tuolumne,May,2020,0.165,3537,5564,660734,4,0
Tuolumne,June,2020,0.144,3478,5421,653445,30,0
Tuolumne,July,2020,0.126,3264,5012,593153,141,2
Tuolumne,August,2020,0.102,3176,4843,561888,189,2
Tuolumne,September,2020,0.096,3152,4815,550370,228,4
Tuolumne,October,2020,0.083,3106,4767,563394,291,6
Tuolumne,November,2020,0.074,3075,4726,545615,1055,8
Tuolumne,December,2020,0.095,3049,4662,531751,2962,21
Tuolumne,January,2021,0.092,3130,4829,536590,3549,49
Tuolumne,February,2021,0.087,3170,4907,786603,3870,56
Ventura,January,2020,0.039,34321,63526,7843973,0,0
Ventura,February,2020,0.037,34942,63189,7827565,0,0
Ventura,March,2020,0.046,34169,62936,7827128,149,5
Ventura,April,2020,0.14,37132,68279,8656326,535,18
Ventura,May,2020,0.135,39489,72388,9378163,1116,33
Ventura,June,2020,0.126,40306,73872,9300518,2926,46
Ventura,July,2020,0.113,38529,70264,8718954,7344,76
Ventura,August,2020,0.091,38619,70947,8709583,10775,116
Ventura,September,2020,0.084,37821,69793,8410461,12875,152
Ventura,October,2020,0.071,36009,66740,8412377,14578,166
Ventura,November,2020,0.063,34752,68415,7973049,20066,183
Ventura,December,2020,0.075,34400,63706,7818782,39559,263
Ventura,January,2021,0.074,34498,116798,7736951,69931,598
Ventura,February,2021,0.068,36565,67207,11082712,76582,782
Yolo,January,2020,0.049,12127,19810,2581665,0,0
Yolo,February,2020,0.048,12155,19711,2589897,0,0
Yolo,March,2020,0.059,12174,19707,2566976,25,1
Yolo,April,2020,0.119,13429,21373,2857424,164,16
Yolo,May,2020,0.105,13895,21870,2897725,211,24
Yolo,June,2020,0.106,14233,22427,2964476,526,24
Yolo,July,2020,0.095,13991,21451,2766577,1511,41
Yolo,August,2020,0.075,13577,21050,2687297,2424,52
Yolo,September,2020,0.071,13149,21350,2592495,2828,55
Yolo,October,2020,0.062,12889,20999,2686046,3292,60
Yolo,November,2020,0.058,12383,20106,2555335,4893,77
Yolo,December,2020,0.07,12170,19850,2534266,8238,111
Yolo,January,2021,0.07,12244,19907,2519320,11698,149
Yolo,February,2021,0.068,0,0,3572432,12606,181
Yuba,January,2020,0.07,7013,13962,1621720,0,0
Yuba,February,2020,0.069,7057,13946,1633957,0,0
Yuba,March,2020,0.085,7080,13946,1641641,7,0
Yuba,April,2020,0.158,7463,14678,1719087,18,3
Yuba,May,2020,0.151,7701,15114,1790261,30,1
Yuba,June,2020,0.144,7777,15142,1815793,75,1
Yuba,July,2020,0.135,7512,14636,1693481,471,4
Yuba,August,2020,0.108,7356,14405,1640481,915,6
Yuba,September,2020,0.106,7233,14336,1608066,1177,8
Yuba,October,2020,0.094,6981,13914,1655784,1353,10
Yuba,November,2020,0.087,6870,13742,1612486,2158,10
Yuba,December,2020,0.104,6744,13425,1556737,3898,19
Yuba,January,2021,0.101,6883,13715,1599938,5324,31
Yuba,February,2021,0.099,6734,13338,2243153,5681,36
